Plate,Well,tags,area_myosin_total,area_nuc_pos_myosin,area_nuclei_total,avg_nuclei_area,avg_nuclei_per_surface_myosin,big_nuclei,estimated_nuclei_in_big,fusion_area_myosin,fusion_index_myosin,length_myosin,length_myosin_per_nuclei,nb_compos_skeleton_myosin,nuclei_myosin_in_big,nuclei_myosin_positive,nuclei_myosin_without_big,nuclei_total,nuclei_without_big,percentage_nuc_pos_myosin,width_myosin,CPD_ID,Concentration,BATCH_ID,Deselected_fusion_area_myosin,Deselected_fusion_index_myosin,Status_fusion_area_myosin,Status_fusion_index_myosin,Bound_min_plateau1_fusion_area_myosin,Bound_max_plateau1_fusion_area_myosin,Bound_min_plateau2_fusion_area_myosin,Bound_max_plateau2_fusion_area_myosin,Bound_min_dip_fusion_area_myosin,Bound_max_dip_fusion_area_myosin,Bound_min_ec50_1_fusion_area_myosin,Bound_max_ec50_1_fusion_area_myosin,Bound_min_ec50_2_fusion_area_myosin,Bound_max_ec50_2_fusion_area_myosin,Bound_min_slope1_fusion_area_myosin,Bound_max_slope1_fusion_area_myosin,Bound_min_slope2_fusion_area_myosin,Bound_max_slope2_fusion_area_myosin,Bound_min_plateau1_fusion_index_myosin,Bound_max_plateau1_fusion_index_myosin,Bound_min_plateau2_fusion_index_myosin,Bound_max_plateau2_fusion_index_myosin,Bound_min_dip_fusion_index_myosin,Bound_max_dip_fusion_index_myosin,Bound_min_ec50_1_fusion_index_myosin,Bound_max_ec50_1_fusion_index_myosin,Bound_min_ec50_2_fusion_index_myosin,Bound_max_ec50_2_fusion_index_myosin,Bound_min_slope1_fusion_index_myosin,Bound_max_slope1_fusion_index_myosin,Bound_min_slope2_fusion_index_myosin,Bound_max_slope2_fusion_index_myosin,Fixed_Top_fusion_area_myosin,Fixed_Top_fusion_index_myosin,Data_Modified_fusion_area_myosin,Data_Modified_fusion_index_myosin
DM1-SC-D01,P23,DM1;ISOX#2.5uM;RowP,1065860,209574,501090,126.051,0.382561,69,354,0.411569,0.382561,86556,230.536,122,279,1548,1269,3942,3588,38.557,48.8761,DM1;ISOX#2.5uM;RowP,1.00E-09,DM1;ISOX#2.5uM;RowP,False,False,=,=,-5.2988775,5.2988775,-5.2988775,5.2988775,-5.2988775,5.2988775,-18,-4.5,-18,-4.5,-3.575521875,3.575521875,-3.575521875,3.575521875,-5.0072505,5.0072505,-5.0072505,5.0072505,-5.0072505,5.0072505,-18,-4.5,-18,-4.5,-3.608005,3.608005,-3.608005,3.608005,Not Fixed,Not Fixed,False,False
DM1-SC-D02,P23,DM1;ISOX#2.5uM;RowP,1238460,244791,523628,126.819,0.439702,95,524,0.467073,0.439702,91069,202.386,82,466,1814,1348,4077,3553,44.4619,54.5727,DM1;ISOX#2.5uM;RowP,1.00E-09,DM1;ISOX#2.5uM;RowP,False,False,=,=,-5.2988775,5.2988775,-5.2988775,5.2988775,-5.2988775,5.2988775,-18,-4.5,-18,-4.5,-3.575521875,3.575521875,-3.575521875,3.575521875,-5.0072505,5.0072505,-5.0072505,5.0072505,-5.0072505,5.0072505,-18,-4.5,-18,-4.5,-3.608005,3.608005,-3.608005,3.608005,Not Fixed,Not Fixed,False,False
DM1-SC-D03,P23,DM1;ISOX#2.5uM;RowP,966913,193537,476892,123.599,0.354129,72,417,0.38593,0.354129,76967,226.633,97,336,1424,1088,3786,3369,35.7853,48.9072,DM1;ISOX#2.5uM;RowP,1.00E-09,DM1;ISOX#2.5uM;RowP,False,False,=,=,-5.2988775,5.2988775,-5.2988775,5.2988775,-5.2988775,5.2988775,-18,-4.5,-18,-4.5,-3.575521875,3.575521875,-3.575521875,3.575521875,-5.0072505,5.0072505,-5.0072505,5.0072505,-5.0072505,5.0072505,-18,-4.5,-18,-4.5,-3.608005,3.608005,-3.608005,3.608005,Not Fixed,Not Fixed,False,False
DM1-SC-D04,P23,DM1;ISOX#2.5uM;RowP,529177,82351,297042,104.285,0.223247,33,178,0.25668,0.223247,39035,263.948,66,112,680,568,2795,2617,22.495,53.1999,DM1;ISOX#2.5uM;RowP,1.00E-09,DM1;ISOX#2.5uM;RowP,False,False,=,=,-5.2988775,5.2988775,-5.2988775,5.2988775,-5.2988775,5.2988775,-18,-4.5,-18,-4.5,-3.575521875,3.575521875,-3.575521875,3.575521875,-5.0072505,5.0072505,-5.0072505,5.0072505,-5.0072505,5.0072505,-18,-4.5,-18,-4.5,-3.608005,3.608005,-3.608005,3.608005,Not Fixed,Not Fixed,False,False
DM1-SC-D05,P23,DM1;ISOX#2.5uM;RowP,1412660,264546,532453,125.629,0.458176,73,451,0.487682,0.458176,102633,219.362,97,393,1968,1575,4185,3734,46.1776,54.2198,DM1;ISOX#2.5uM;RowP,1.00E-09,DM1;ISOX#2.5uM;RowP,False,False,=,=,-5.2988775,5.2988775,-5.2988775,5.2988775,-5.2988775,5.2988775,-18,-4.5,-18,-4.5,-3.575521875,3.575521875,-3.575521875,3.575521875,-5.0072505,5.0072505,-5.0072505,5.0072505,-5.0072505,5.0072505,-18,-4.5,-18,-4.5,-3.608005,3.608005,-3.608005,3.608005,Not Fixed,Not Fixed,False,False
DM1-SC-D06,P23,DM1;ISOX#2.5uM;RowP,1287380,252786,500842,126.157,0.476881,94,533,0.504655,0.476881,98519,209.736,105,507,1898,1391,3930,3397,48.1968,52.1246,DM1;ISOX#2.5uM;RowP,1.00E-09,DM1;ISOX#2.5uM;RowP,False,False,=,=,-5.2988775,5.2988775,-5.2988775,5.2988775,-5.2988775,5.2988775,-18,-4.5,-18,-4.5,-3.575521875,3.575521875,-3.575521875,3.575521875,-5.0072505,5.0072505,-5.0072505,5.0072505,-5.0072505,5.0072505,-18,-4.5,-18,-4.5,-3.608005,3.608005,-3.608005,3.608005,Not Fixed,Not Fixed,False,False
DM1-SC-D07,P23,DM1;ISOX#2.5uM;RowP,1294860,244458,503106,124.542,0.450514,80,468,0.482302,0.450514,91659,204.727,108,387,1830,1443,3995,3527,45.4114,56.2733,DM1;ISOX#2.5uM;RowP,1.00E-09,DM1;ISOX#2.5uM;RowP,False,False,=,=,-5.2988775,5.2988775,-5.2988775,5.2988775,-5.2988775,5.2988775,-18,-4.5,-18,-4.5,-3.575521875,3.575521875,-3.575521875,3.575521875,-5.0072505,5.0072505,-5.0072505,5.0072505,-5.0072505,5.0072505,-18,-4.5,-18,-4.5,-3.608005,3.608005,-3.608005,3.608005,Not Fixed,Not Fixed,False,False
DM1-SC-DMSO,P23,DM1;ISOX#2.5uM;RowP,1207480,214842,460135,123.585,0.427203,58,338,0.464405,0.427203,88906,225.283,97,296,1603,1307,3699,3361,42.988,54.2218,DM1;ISOX#2.5uM;RowP,1.00E-09,DM1;ISOX#2.5uM;RowP,False,False,=,=,-5.2988775,5.2988775,-5.2988775,5.2988775,-5.2988775,5.2988775,-18,-4.5,-18,-4.5,-3.575521875,3.575521875,-3.575521875,3.575521875,-5.0072505,5.0072505,-5.0072505,5.0072505,-5.0072505,5.0072505,-18,-4.5,-18,-4.5,-3.608005,3.608005,-3.608005,3.608005,Not Fixed,Not Fixed,False,False
DM1-SC-D01,A23,DM1;ISOX#2.5uM;RowA,977688,214207,481767,124.362,0.403566,83,537,0.439251,0.403566,70807,181.355,104,463,1579,1116,3834,3297,40.7299,54.7822,DM1;ISOX#2.5uM;RowA,1.00E-09,DM1;ISOX#2.5uM;RowA,False,False,=,=,-6.16749,6.16749,-6.16749,6.16749,-6.16749,6.16749,-18,-4.5,-18,-4.5,-3.496053125,3.496053125,-3.496053125,3.496053125,-5.7625785,5.7625785,-5.7625785,5.7625785,-5.7625785,5.7625785,-18,-4.5,-18,-4.5,-3.314695,3.314695,-3.314695,3.314695,Not Fixed,Not Fixed,False,False
DM1-SC-D02,A23,DM1;ISOX#2.5uM;RowA,1308140,253296,489916,122.93,0.482371,88,534,0.508994,0.482371,97378,205.842,76,512,1942,1430,3925,3391,48.7399,52.8451,DM1;ISOX#2.5uM;RowA,1.00E-09,DM1;ISOX#2.5uM;RowA,False,False,=,=,-6.16749,6.16749,-6.16749,6.16749,-6.16749,6.16749,-18,-4.5,-18,-4.5,-3.496053125,3.496053125,-3.496053125,3.496053125,-5.7625785,5.7625785,-5.7625785,5.7625785,-5.7625785,5.7625785,-18,-4.5,-18,-4.5,-3.314695,3.314695,-3.314695,3.314695,Not Fixed,Not Fixed,False,False
